[fangmq@cn18%yhstar constant]$ ./broadcast1 
blocks	 threads	 aver 	 min 	 max 	(clocks)
1	1		96.186462	96.186462	96.186462
1	32		2080.208740	2080.208740	2080.208740
1	64		2080.235596	2080.232910	2080.238281
1	96		2080.237223	2080.231934	2080.240967
1	128		2080.242737	2080.233398	2080.252197
1	160		2064.317017	2040.375854	2080.249512
1	192		2055.151591	2040.449341	2080.242920
1	224		2049.810686	2026.025391	2080.242188
1	256		2043.945282	2028.079834	2066.032715
1	288		2085.899970	2030.298340	2189.401367
1	320		2126.246716	2026.902954	2195.850342
1	352		2159.269520	2029.523804	2199.964355
1	384		2189.867757	2179.057373	2197.411377
1	416		2210.691632	2180.800293	2256.176758
1	448		2234.133196	2188.034180	2271.274902
1	480		2243.451465	2182.789551	2258.155273
1	512		2260.708786	2256.389160	2270.335449
[fangmq@cn18%yhstar constant]$ ./broadcast2
blocks	 threads	 aver 	 min 	 max 	(clocks)
1	1		96.182037	96.182037	96.182037
1	32		1056.272217	1056.272217	1056.272217
1	64		1056.240784	1056.239868	1056.241699
1	96		1056.239746	1056.234985	1056.246948
1	128		1056.246490	1056.239136	1056.250854
1	160		1055.339624	1053.937500	1056.251343
1	192		1050.522664	1046.387573	1056.247681
1	224		1047.574009	1037.846924	1056.223022
1	256		1046.820999	1036.508667	1053.256836
1	288		1091.967095	1039.088867	1191.564697
1	320		1127.878882	1043.249268	1189.862793
1	352		1158.023360	1039.677979	1199.933105
1	384		1182.788818	1175.695923	1192.476929
1	416		1216.151902	1173.166260	1293.687622
1	448		1243.200152	1176.546143	1294.259155
1	480		1269.703092	1184.599243	1295.962524
1	512		1291.812317	1288.771729	1296.842285
[fangmq@cn18%yhstar constant]$ ./broadcast4
blocks	 threads	 aver 	 min 	 max 	(clocks)
1	1		96.232819	96.232819	96.232819
1	32		544.271118	544.271118	544.271118
1	64		544.243500	544.241150	544.245850
1	96		544.252706	544.238281	544.264587
1	128		544.238235	544.232300	544.243774
1	160		535.539551	522.283081	544.252869
1	192		538.981455	535.534668	544.249512
1	224		533.315988	523.567749	544.235168
1	256		529.835518	522.684143	538.858887
1	288		579.546034	522.337036	680.069031
1	320		617.366461	526.276855	677.674500
1	352		648.865467	532.330750	681.214600
1	384		674.231267	663.495361	678.847168
1	416		719.639038	665.487000	820.645081
1	448		755.792546	662.705750	820.450806
1	480		790.397347	673.112000	821.669861
1	512		817.448376	815.008911	822.804993
[fangmq@cn18%yhstar constant]$ ./broadcast8
blocks	 threads	 aver 	 min 	 max 	(clocks)
1	1		96.197662	96.197662	96.197662
1	32		288.236206	288.236206	288.236206
1	64		288.255219	288.252350	288.258087
1	96		288.239248	288.237000	288.241669
1	128		288.241676	288.238037	288.245056
1	160		278.859338	264.772400	288.248444
1	192		275.170283	267.017212	288.252350
1	224		271.029702	264.919556	288.257812
1	256		266.357307	261.923462	270.642975
1	288		314.353543	265.621887	410.134918
1	320		351.340698	264.454437	414.699493
1	352		383.353025	271.955994	412.196381
1	384		408.573718	403.453674	412.062256
1	416		468.595330	402.468506	604.207581
1	448		519.318593	402.634399	603.119324
1	480		562.779130	403.034393	605.790405
1	512		603.795326	602.193237	605.446899
[fangmq@cn18%yhstar constant]$ ./broadcast16
blocks	 threads	 aver 	 min 	 max 	(clocks)
1	1		96.236206	96.236206	96.236206
1	32		160.235168	160.235168	160.235168
1	64		160.230087	160.229691	160.230484
1	96		160.239934	160.237503	160.241928
1	128		160.242779	160.237503	160.245575
1	160		156.026987	149.656265	160.245575
1	192		151.972402	147.485168	160.257034
1	224		148.959566	144.911469	160.245316
1	256		146.644606	145.904175	147.536728
1	288		172.771739	145.423447	232.162766
1	320		198.289880	144.845581	242.199234
1	352		217.402405	147.013550	237.759384
1	384		235.562054	225.566162	246.856522
1	416		288.174374	225.105225	404.794037
1	448		331.996131	219.400009	403.931793
1	480		369.726024	234.829178	403.496643
1	512		403.556351	403.008881	403.902100
[fangmq@cn18%yhstar constant]$ ./broadcast32
blocks	 threads	 aver 	 min 	 max 	(clocks)
1	1		96.197662	96.197662	96.197662
1	32		96.194794	96.194794	96.194794
1	64		96.209248	96.206253	96.212242
1	96		96.200788	96.198967	96.202087
1	128		96.206581	96.205215	96.208595
1	160		92.818495	87.728394	96.212242
1	192		90.636810	87.633858	96.239845
1	224		88.275041	86.243492	96.210686
1	256		87.249614	86.206772	88.098961
1	288		125.203914	87.576309	200.579956
1	320		153.798758	87.274483	199.794022
1	352		177.921077	87.937767	201.111206
1	384		202.105282	198.506775	206.396881
1	416		203.965054	197.990112	211.681000
1	448		205.096868	194.628403	210.735687
1	480		208.766609	201.031784	211.245590
1	512		210.408019	209.651581	210.966934
