[fangmq@cn18%yhstar constant]$ ./block_broadcast1024 
blocks	 threads	 aver 	 min 	 max 	(clocks)
1	1024		306.765332	304.790649	308.063568
32	1024		613.031493	317.969543	752.314636
64	1024		626.036742	295.334137	753.777893
96	1024		632.772401	367.562012	753.897949
128	1024		627.301556	294.759125	753.748230
160	1024		631.311262	366.277618	755.072449
192	1024		635.132307	485.907837	753.583618
224	1024		634.654791	367.915894	753.703918
256	1024		646.716840	483.651337	755.588074
288	1024		640.063395	478.796906	755.594055
320	1024		647.160185	292.828674	753.635986
352	1024		647.619467	484.826080	754.767517
384	1024		645.282007	373.181000	754.537048
416	1024		643.705488	369.291931	754.039124
448	1024		643.497356	377.997406	754.641418
480	1024		643.560967	475.806549	754.018555
512	1024		643.006725	376.706024	754.007080
544	1024		641.484172	390.617981	755.568787
576	1024		640.359430	399.791962	755.672424
608	1024		640.841267	396.271362	753.633118
640	1024		639.503121	385.800018	755.637024
672	1024		640.316960	316.041412	754.749756
704	1024		639.584129	423.340118	753.135193
736	1024		642.814063	476.070862	756.533875
768	1024		641.519033	468.525024	753.995605
800	1024		641.370156	377.276855	753.734436
832	1024		643.091318	469.344543	753.588074
864	1024		643.532549	387.667725	753.994812
896	1024		641.163567	380.066162	755.027100
928	1024		641.248281	299.878143	754.389648
960	1024		641.226044	461.789337	756.344849
992	1024		642.564324	401.164337	752.869324
1024	1024		639.708524	406.239349	754.779236
[fangmq@cn18%yhstar constant]$ ./block_broadcast512
blocks	 threads	 aver 	 min 	 max 	(clocks)
1	512		210.408459	210.094025	210.707047
32	512		371.799486	252.910172	438.213043
64	512		459.267312	256.409912	524.133118
96	512		465.019769	370.490906	526.392212
128	512		461.125344	209.914856	525.675049
160	512		477.214511	211.073975	528.938049
192	512		468.573885	226.866165	528.423218
224	512		479.089873	381.013306	529.040161
256	512		477.996376	368.656006	529.006775
288	512		475.732905	275.678925	529.261719
320	512		474.482468	233.064850	529.569824
352	512		472.850050	211.169022	528.164856
384	512		477.281855	221.166412	529.809387
416	512		470.901899	239.956268	528.659119
448	512		477.264211	388.464355	530.181274
480	512		477.810272	383.117737	528.013855
512	512		474.439884	231.439331	529.591980
544	512		476.996419	226.425278	530.387512
576	512		472.846665	225.681778	530.243774
608	512		475.564532	224.950012	533.078125
640	512		471.281807	232.771103	533.286987
672	512		475.826063	378.417480	529.865112
704	512		476.608341	383.245850	531.853149
736	512		474.473867	229.929703	533.402344
768	512		475.626282	225.971634	530.843750
800	512		473.841242	230.557571	533.218262
832	512		476.622469	247.152618	528.637817
864	512		474.761285	257.528931	532.768494
896	512		475.490625	385.856018	529.116943
928	512		476.841449	381.585449	529.675293
960	512		475.557350	218.789337	532.554199
992	512		477.365463	245.384644	532.269836
1024	512		475.510984	225.360687	529.665894
[fangmq@cn18%yhstar constant]$ ./block_broadcast256
blocks	 threads	 aver 	 min 	 max 	(clocks)
1	256		87.267745	86.547920	87.965370
32	256		87.747567	86.153389	90.982033
64	256		94.776299	88.622139	99.805733
96	256		118.903897	106.671623	134.947662
128	256		117.494751	85.683334	134.703125
160	256		113.987299	86.539589	136.232559
192	256		119.826320	89.732033	138.927094
224	256		121.953023	86.196617	141.531784
256	256		117.825766	86.588287	138.883347
288	256		119.343210	93.111984	139.639587
320	256		122.042184	87.893494	139.892715
352	256		120.051117	86.568237	148.411987
384	256		119.799385	89.336983	147.426834
416	256		122.079370	102.565628	139.467972
448	256		120.648843	87.253128	147.488556
480	256		120.203303	87.425522	145.517715
512	256		121.639132	98.016151	144.281784
544	256		121.386157	87.133080	144.591934
576	256		120.153172	88.384377	149.059906
608	256		121.449021	89.883339	142.989075
640	256		121.078019	89.138550	144.733078
672	256		120.853290	86.664070	149.812515
704	256		120.376657	93.584381	142.933334
736	256		121.698390	87.594536	142.528137
768	256		120.706128	86.935684	143.088806
800	256		120.952025	88.596619	149.136993
832	256		121.648470	93.054955	147.407562
864	256		120.707939	89.202087	148.580475
896	256		120.633960	89.444275	141.343491
928	256		121.548316	99.744019	147.462509
960	256		120.725414	89.673180	144.447403
992	256		119.938960	89.304955	144.914597
1024	256		120.184771	98.141151	146.818237
[fangmq@cn18%yhstar constant]$ ./block_broadcast32
blocks	 threads	 aver 	 min 	 max 	(clocks)
1	32		96.182297	96.182297	96.182297
32	32		96.203048	96.174225	96.231255
64	32		92.348980	84.433334	96.234383
96	32		86.587217	84.432037	96.235420
128	32		85.681060	84.430214	87.776306
160	32		85.628248	85.133080	86.222923
192	32		85.840106	85.356514	86.287247
224	32		86.644515	85.452866	96.016411
256	32		86.352459	84.110939	96.019539
288	32		86.641385	84.127869	96.023964
320	32		86.007124	84.781258	96.007294
352	32		85.917805	84.539589	96.010681
384	32		85.876075	85.066414	86.708076
416	32		86.172429	85.360680	87.351303
448	32		86.311997	85.217972	96.009117
480	32		86.460804	84.575783	95.999481
512	32		86.266709	84.296616	96.001045
544	32		86.349883	85.001305	95.971619
576	32		86.096733	85.127869	87.039848
608	32		86.326321	84.227348	95.924484
640	32		86.504887	85.265633	96.000526
672	32		86.392420	85.223183	95.957558
704	32		86.464471	85.075523	95.986725
736	32		86.382591	84.297401	95.989326
768	32		86.329512	85.126305	95.989586
800	32		86.335491	85.097397	95.934639
832	32		86.354587	85.454689	87.419533
864	32		86.436336	85.106514	95.975784
896	32		86.442724	84.999741	95.954956
928	32		86.503330	84.789330	95.976570
960	32		86.458760	84.801308	95.949226
992	32		86.473601	85.005997	95.911720
1024	32		86.519958	84.472923	87.761726
