[fangmq@cn18%yhstar global]$ ./broadcast1 
blocks	 threads	 aver 	 min 	 max 	(clocks)
1	1		431.261749	431.261749	431.261749
1	32		431.300537	431.300537	431.300537
1	64		439.279846	439.270081	439.289612
1	96		438.959656	438.766693	439.304962
1	128		440.335442	434.514862	442.565918
1	160		434.121692	430.008881	440.030762
1	192		428.168121	416.000793	446.820343
1	224		432.052591	423.369019	446.116180
1	256		431.848103	424.493256	438.113831
1	288		430.938619	429.858093	433.076050
1	320		438.565570	437.540649	439.971375
1	352		436.253127	431.764099	441.247681
1	384		437.591604	429.127625	445.356537
1	416		436.415551	423.908875	446.527374
1	448		433.174373	421.545349	444.916443
1	480		432.059501	423.095856	445.355225
1	512		429.052383	418.559143	437.494293
[fangmq@cn18%yhstar global]$ ./broadcast2 
blocks	 threads	 aver 	 min 	 max 	(clocks)
1	1		431.276062	431.276062	431.276062
1	32		431.299774	431.299774	431.299774
1	64		439.322021	439.318237	439.325806
1	96		447.101329	447.047943	447.158356
1	128		439.528664	437.812256	440.372681
1	160		434.148260	430.144043	439.964874
1	192		428.161214	415.958862	447.247162
1	224		432.635816	423.264618	446.519043
1	256		431.229874	423.568787	437.284912
1	288		431.112284	429.905762	432.755219
1	320		436.787735	435.863312	439.145325
1	352		433.048012	428.533356	439.156799
1	384		434.522677	427.226318	440.708862
1	416		436.346375	422.744019	447.507843
1	448		429.432785	417.918518	441.408875
1	480		429.710852	418.875275	442.206268
1	512		427.143576	416.587250	436.759644
[fangmq@cn18%yhstar global]$ ./broadcast4 
blocks	 threads	 aver 	 min 	 max 	(clocks)
1	1		431.267731	431.267731	431.267731
1	32		431.299255	431.299255	431.299255
1	64		432.819809	432.758606	432.881012
1	96		438.835785	438.580750	439.304199
1	128		439.820595	434.617218	441.962769
1	160		433.911163	429.688812	439.884918
1	192		425.673854	415.317993	442.417480
1	224		429.815425	418.903412	442.470856
1	256		428.392929	419.897949	435.771912
1	288		431.198351	429.901337	433.025818
1	320		431.932840	429.867737	434.908875
1	352		432.403956	428.835693	438.463318
1	384		434.320396	425.485962	441.533081
1	416		433.688526	421.419800	443.218506
1	448		429.814717	418.089355	440.929199
1	480		429.770369	419.641937	442.595062
1	512		427.168802	418.423187	437.129974
[fangmq@cn18%yhstar global]$ ./broadcast8 
blocks	 threads	 aver 	 min 	 max 	(clocks)
1	1		431.240387	431.240387	431.240387
1	32		431.263306	431.263306	431.263306
1	64		434.077637	434.059143	434.096130
1	96		446.042816	445.963043	446.142731
1	128		439.096306	438.871368	439.325531
1	160		434.036530	429.980225	439.848724
1	192		428.198247	416.028137	447.280243
1	224		429.937491	420.310181	442.198212
1	256		428.738338	420.413574	435.097412
1	288		431.344408	429.625275	434.268768
1	320		437.836145	436.699249	439.785706
1	352		435.663463	431.143250	440.134399
1	384		436.328478	427.121124	444.565399
1	416		436.165783	422.972931	447.531006
1	448		431.880227	422.921387	444.527618
1	480		430.848494	420.841675	444.705231
1	512		427.879675	418.456787	437.491425
[fangmq@cn18%yhstar global]$ ./broadcast16 
blocks	 threads	 aver 	 min 	 max 	(clocks)
1	1		431.274750	431.274750	431.274750
1	32		430.654724	430.654724	430.654724
1	64		431.259659	431.258087	431.261230
1	96		433.618601	430.664856	439.424255
1	128		437.178017	431.945343	439.320068
1	160		427.796271	416.681793	439.272675
1	192		423.892212	416.990662	440.643005
1	224		423.071599	414.002899	439.868774
1	256		424.949341	417.073730	432.576050
1	288		426.031447	423.432068	430.628143
1	320		425.593875	421.494019	431.161224
1	352		428.071947	422.779175	433.106537
1	384		427.985769	420.442474	436.236755
1	416		424.926446	409.060699	437.712006
1	448		422.409847	408.955231	437.068787
1	480		420.940448	413.348969	436.188812
1	512		421.080606	412.894287	431.303680
[fangmq@cn18%yhstar global]$ ./broadcast32 
blocks	 threads	 aver 	 min 	 max 	(clocks)
1	1		431.270081	431.270081	431.270081
1	32		423.305756	423.305756	423.305756
1	64		430.812531	430.812531	430.812531
1	96		432.458964	430.546906	436.221375
1	128		431.469559	426.978943	437.240906
1	160		425.699084	414.818512	437.526855
1	192		422.141088	414.838562	437.417480
1	224		420.258135	413.828156	437.881012
1	256		421.754646	413.902893	429.142456
1	288		420.295742	418.007324	422.721130
1	320		421.730908	420.471375	424.736206
1	352		424.163472	419.967224	429.608093
1	384		426.125175	418.977631	433.159912
1	416		421.456731	407.953918	431.943787
1	448		419.393605	411.010956	430.954712
1	480		418.726638	409.038055	431.829437
1	512		420.056114	413.927887	430.939880
