
[fangmq@cn18%yhstar global]$ ./order_threads 
blocks	 threads	 aver 	 min 	 max 	(clocks)
1	1	1		431.269287	431.269287	431.269287
2	1	1		430.363037	430.363037	430.363037
3	1	1		431.259644	431.259644	431.259644
1	1	32		439.243500	439.243500	439.243500
2	1	32		439.265137	439.265137	439.265137
3	1	32		769.714111	769.714111	769.714111
1	1	64		439.201584	439.200806	439.202362
2	1	64		445.134521	445.115906	445.153137
3	1	64		774.221252	771.874756	776.567749
1	1	96		439.063304	438.934662	439.305481
2	1	96		438.861572	437.578674	439.644562
3	1	96		778.785543	771.518005	788.297668
1	1	128		436.584518	430.378143	441.119019
2	1	128		442.851715	431.463562	454.252106
3	1	128		778.841949	769.469543	786.927124
1	1	160		433.231067	427.552612	440.264099
2	1	160		431.385760	416.515656	445.873993
3	1	160		778.507275	762.745850	788.326843
1	1	192		431.413437	420.513306	444.641693
2	1	192		426.139216	415.121887	442.101074
3	1	192		782.498606	763.122437	791.301331
1	1	224		428.684627	417.006805	446.655243
2	1	224		432.469142	427.442200	444.946625
3	1	224		783.112270	762.563843	794.762268
1	1	256		430.060444	421.260193	436.993500
2	1	256		430.599766	424.080750	435.255493
3	1	256		788.859154	767.643799	797.784180
1	1	288		430.359653	428.282318	433.114349
2	1	288		432.984599	427.703918	438.107574
3	1	288		804.341410	794.638062	827.596375
1	1	320		435.801270	433.844818	438.912537
2	1	320		433.828229	430.150818	437.505219
3	1	320		812.486273	793.570618	828.602661
1	1	352		434.996945	427.835968	441.382568
2	1	352		436.039961	429.639099	441.219818
3	1	352		826.143089	803.160217	839.322449
1	1	384		436.349876	429.010193	441.482849
2	1	384		436.346677	430.121124	442.392731
3	1	384		847.157089	822.223206	856.127136
1	1	416		434.731473	419.474487	445.522949
2	1	416		434.048140	421.410950	443.391693
3	1	416		851.968511	831.296631	899.549011
1	1	448		431.153872	419.777618	443.677094
2	1	448		430.058151	417.696899	441.411224
3	1	448		869.701050	830.131042	909.371643
1	1	480		429.947005	421.295074	443.199249
2	1	480		430.719051	418.737518	444.601593
3	1	480		885.441618	831.901367	909.397156
1	1	512		427.021572	418.277374	436.360687
2	1	512		429.925756	420.579956	440.012787
3	1	512		901.836132	880.198242	911.811218
[fangmq@cn18%yhstar global]$ ./order_blocks 
blocks	 threads	 aver 	 min 	 max 	(clocks)
1	1	256		430.712952	424.706543	437.005493
2	1	256		427.982151	418.906281	434.998474
3	1	256		788.375130	766.931274	797.585693
1	32	256		418.485116	406.515656	437.079956
2	32	256		418.581495	406.215393	437.865112
3	32	256		1095.026282	876.972717	1289.877930
1	64	256		507.890376	498.687256	517.971130
2	64	256		507.872087	498.538300	517.060425
3	64	256		1973.781097	1631.337891	2106.791260
1	96	256		761.997579	752.379211	771.443298
2	96	256		761.966051	752.248474	771.622437
3	96	256		2778.022540	2033.545898	3345.999023
1	128	256		767.305447	504.585175	836.191956
2	128	256		766.757340	502.726593	836.046936
3	128	256		2811.610737	767.960999	3367.731201
1	160	256		716.866520	504.250275	837.953186
2	160	256		716.917564	504.218781	838.309143
3	160	256		2710.120446	1149.126587	3379.895508
1	192	256		768.209346	690.779968	839.464600
2	192	256		768.916788	693.597717	839.389893
3	192	256		2868.606804	1765.377441	3389.175537
1	224	256		803.316304	504.773193	840.085205
2	224	256		803.548081	504.978668	839.860474
3	224	256		2939.458624	803.518555	3406.197754
1	256	256		768.371040	506.468262	839.801331
2	256	256		768.279741	506.243774	839.896912
3	256	256		2832.131373	885.845886	3388.636719
1	288	256		774.934390	630.284668	840.287048
2	288	256		774.845118	631.135681	840.369324
3	288	256		2894.838138	1470.895630	3404.039795
1	320	256		817.736293	510.044830	840.620361
2	320	256		817.599978	507.695587	840.313843
3	320	256		2987.926932	787.390137	3393.439209
1	352	256		790.716300	506.875793	840.249023
2	352	256		788.436883	417.049500	841.025574
3	352	256		2872.130158	901.418030	3392.998779
1	384	256		779.823531	567.781555	840.180786
2	384	256		780.260553	569.476562	840.250549
3	384	256		2875.241563	1449.704468	3399.259521
1	416	256		822.784887	801.471130	840.963867
2	416	256		824.040797	803.403442	840.664917
3	416	256		2980.059094	1841.842285	3423.305664
1	448	256		802.612837	508.683105	841.462280
2	448	256		802.169562	507.652100	841.651611
3	448	256		2842.709154	877.784912	3408.362305
1	480	256		785.887954	513.374512	840.994568
2	480	256		785.918118	515.226868	840.995605
