[fangmq@cn18%yhstar shared]$ ./shared_conflict_1
blocks	 threads	 aver 	 min 	 max 	(clocks)
1	1		95.836205	95.836205	95.836205
1	32		95.836205	95.836205	95.836205
1	64		95.842453	95.840630	95.844276
1	96		95.850525	95.841148	95.869278
1	128		95.842712	95.840630	95.843758
1	160		86.459691	72.364845	95.858078
1	192		77.073266	67.597656	95.837769
1	224		74.563101	68.432037	95.838547
1	256		67.664489	67.107292	68.215111
1	288		66.281341	66.133080	66.561722
1	320		67.212633	66.470573	69.232033
1	352		67.091930	66.455215	68.208855
1	384		66.536786	66.414589	66.653908
1	416		66.715768	66.457817	67.124741
1	448		66.869033	66.633858	67.097137
1	480		66.922017	66.477867	67.136719
1	512		66.962341	66.827866	67.113808
[fangmq@cn18%yhstar shared]$ ./shared_conflict_2
blocks	 threads	 aver 	 min 	 max 	(clocks)
1	1		95.609383	95.609383	95.609383
1	32		95.690628	95.690628	95.690628
1	64		95.786072	95.766670	95.805473
1	96		116.025004	95.862244	156.350006
1	128		122.093498	95.847664	154.161728
1	160		105.257504	66.559639	154.225525
1	192		97.348269	68.410423	157.571884
1	224		106.566225	66.476303	159.407303
1	256		108.427381	69.479691	148.439590
1	288		106.751945	67.248444	154.960678
1	320		100.950185	67.330994	149.291412
1	352		104.438192	68.292450	154.003128
1	384		108.098725	68.035683	149.931000
1	416		103.300025	67.845055	145.032043
1	448		101.603261	67.908340	146.770065
1	480		103.153513	67.823441	148.529175
1	512		107.971784	67.785156	148.763031
[fangmq@cn18%yhstar shared]$ ./shared_conflict_4
blocks	 threads	 aver 	 min 	 max 	(clocks)
1	1		95.727608	95.727608	95.727608
1	32		156.979172	156.979172	156.979172
1	64		146.967323	136.546356	157.388290
1	96		144.129171	136.833603	158.460419
1	128		152.132759	148.555222	155.857040
1	160		155.220114	147.630219	160.213028
1	192		156.464765	148.487762	160.198441
1	224		159.769246	156.150009	160.719284
1	256		159.734058	159.128647	160.211472
1	288		157.847404	154.535690	159.895325
1	320		156.197327	152.997147	160.201569
1	352		155.538005	151.897659	160.898178
1	384		153.506735	151.744537	155.029434
1	416		150.217655	144.150787	154.465897
1	448		150.156425	145.550003	153.909378
1	480		148.267593	140.987762	155.293762
1	512		147.617178	145.566147	149.147919
[fangmq@cn18%yhstar shared]$ ./shared_conflict_8
blocks	 threads	 aver 	 min 	 max 	(clocks)
1	1		95.578392	95.578392	95.578392
1	32		198.161469	198.161469	198.161469
1	64		198.066414	198.036209	198.096619
1	96		198.053314	198.011215	198.113297
1	128		198.043762	198.023193	198.094543
1	160		201.499075	198.023193	206.819550
1	192		203.828222	198.041931	206.761993
1	224		205.480142	198.034119	206.732040
1	256		206.725628	206.664856	206.763550
1	288		208.241389	206.685684	211.547668
1	320		211.727617	206.710175	219.401581
1	352		213.319236	206.719803	218.701050
1	384		216.642546	212.354965	219.929962
1	416		211.835888	206.748703	214.973969
1	448		210.281411	202.473190	217.397141
1	480		206.399315	201.476837	213.761993
1	512		203.708359	200.403656	206.039337
[fangmq@cn18%yhstar shared]$ ./shared_conflict_16
blocks	 threads	 aver 	 min 	 max 	(clocks)
1	1		95.677612	95.677612	95.677612
1	32		326.080231	326.080231	326.080231
1	64		326.061340	326.026581	326.096100
1	96		326.053324	326.028412	326.097687
1	128		326.045784	326.013031	326.107056
1	160		323.098138	318.713287	326.035950
1	192		321.151622	318.573975	326.092712
1	224		319.786813	318.633362	326.063049
1	256		318.711773	318.566162	318.871124
1	288		319.297584	318.626831	320.569794
1	320		319.801685	318.681793	320.707306
1	352		320.163624	318.567719	320.815887
1	384		320.468786	320.187775	320.702606
1	416		321.387554	320.322144	323.678650
1	448		322.250037	320.363556	325.090912
1	480		324.222013	320.305756	326.392456
1	512		323.807241	322.327606	325.531525
[fangmq@cn18%yhstar shared]$ ./shared_conflict_32
blocks	 threads	 aver 	 min 	 max 	(clocks)
1	1		95.690887	95.690887	95.690887
1	32		550.080261	550.080261	550.080261
1	64		550.058746	550.020081	550.097412
1	96		550.058858	550.029175	550.116150
1	128		550.045456	550.023193	550.097412
1	160		547.130505	542.723206	550.088074
1	192		545.167684	542.609375	550.031250
1	224		543.785226	542.593506	550.062012
1	256		542.716759	542.571411	542.842468
1	288		543.333530	542.591980	544.789612
1	320		543.768579	542.600281	544.762024
1	352		544.143405	542.583374	544.661987
1	384		544.470622	544.188599	544.805237
1	416		554.912992	544.255737	578.587280
1	448		564.149933	544.271362	580.528931
1	480		575.800761	544.358643	588.679443
1	512		582.790962	580.312256	588.600830

