[fangmq@cn18%yhstar shared]$ ./shared_conflict1_1
blocks	 threads	 aver 	 min 	 max 	(clocks)
1	1		95.836205	95.836205	95.836205
1	32		95.836205	95.836205	95.836205
1	64		95.843624	95.840111	95.847137
1	96		95.837680	95.832039	95.844795
1	128		95.851046	95.838547	95.862244
1	160		84.194012	66.718491	95.842712
1	192		80.486160	72.317192	95.843758
1	224		72.857891	68.357819	95.834381
1	256		66.148702	66.103653	66.224480
1	288		67.732121	66.652870	69.277084
1	320		67.930446	66.515625	69.237762
1	352		67.574411	66.609116	70.223701
1	384		66.532752	66.365891	66.727348
1	416		66.716550	66.464325	67.121880
1	448		66.811443	66.446098	67.110939
1	480		66.919882	66.584641	67.218491
1	512		66.986836	66.888542	67.133339
[fangmq@cn18%yhstar shared]$ ./shared_conflict1_2
blocks	 threads	 aver 	 min 	 max 	(clocks)
1	1		95.835419	95.835419	95.835419
1	32		95.836723	95.836723	95.836723
1	64		95.842453	95.840630	95.844276
1	96		95.839155	95.836205	95.844536
1	128		95.838156	95.836983	95.840370
1	160		84.203596	66.753387	95.843231
1	192		79.193406	70.321098	95.843231
1	224		70.919608	66.344795	95.833336
1	256		66.414034	66.091667	67.195580
1	288		67.664791	66.228912	69.277870
1	320		69.708310	66.733856	74.322662
1	352		67.138356	66.452606	68.276825
1	384		66.542257	66.374741	66.680214
1	416		66.692051	66.403908	66.988808
1	448		66.831403	66.452087	67.154167
1	480		66.912087	66.550262	67.136200
1	512		66.995039	66.810944	67.138542
[fangmq@cn18%yhstar shared]$ ./shared_conflict1_4
blocks	 threads	 aver 	 min 	 max 	(clocks)
1	1		95.836205	95.836205	95.836205
1	32		95.836205	95.836205	95.836205
1	64		95.841541	95.840111	95.842972
1	96		95.838633	95.834641	95.844795
1	128		95.838547	95.832817	95.843758
1	160		84.158232	66.607292	95.841148
1	192		76.253779	66.257034	95.844536
1	224		71.779728	67.392715	95.833336
1	256		66.656092	66.056778	67.182556
1	288		68.644795	66.691673	70.312241
1	320		67.384899	66.435417	69.202087
1	352		66.810043	66.313286	68.236465
1	384		66.540476	66.430473	66.631256
1	416		66.635040	66.401566	67.052605
1	448		66.814810	66.534897	67.166153
1	480		66.915871	66.598183	67.064064
1	512		66.985794	66.807297	67.167709
[fangmq@cn18%yhstar shared]$ ./shared_conflict1_8
blocks	 threads	 aver 	 min 	 max 	(clocks)
1	1		95.836983	95.836983	95.836983
1	32		95.834641	95.834641	95.834641
1	64		95.842453	95.840630	95.844276
1	96		95.837591	95.832558	95.844795
1	128		95.843363	95.837242	95.851044
1	160		84.515994	67.523705	95.845581
1	192		79.868408	71.369797	95.844017
1	224		71.510681	66.531776	95.832817
1	256		66.654170	66.109901	67.260681
1	288		68.089442	66.488281	69.204689
1	320		68.831878	66.840111	73.208595
1	352		66.866528	66.534897	68.196358
1	384		66.733489	66.419014	67.532555
1	416		66.716709	66.436722	67.112244
1	448		66.840108	66.545578	67.159637
1	480		66.908458	66.579689	67.177872
1	512		66.947676	66.792709	67.111725
[fangmq@cn18%yhstar shared]$ ./shared_conflict1_16
blocks	 threads	 aver 	 min 	 max 	(clocks)
1	1		95.835419	95.835419	95.835419
1	32		95.836205	95.836205	95.836205
1	64		95.842453	95.840630	95.844276
1	96		95.837591	95.832558	95.844795
1	128		95.839069	95.824745	95.847404
1	160		84.146254	66.609116	95.841675
1	192		77.016368	67.552872	95.841934
1	224		74.847808	68.325005	95.838547
1	256		66.698181	66.157555	68.164330
1	288		67.022168	66.207817	68.250526
1	320		67.070733	66.477348	68.226830
1	352		67.236035	66.458336	70.259636
1	384		66.508380	66.348961	66.603127
1	416		66.689788	66.412247	67.075264
1	448		66.818568	66.489586	67.142448
1	480		66.890021	66.484901	67.128128
1	512		67.011770	66.769272	67.225006
[fangmq@cn18%yhstar shared]$ ./shared_conflict1_32
blocks	 threads	 aver 	 min 	 max 	(clocks)
1	1		95.836205	95.836205	95.836205
1	32		95.836983	95.836983	95.836983
1	64		95.842194	95.840370	95.844017
1	96		95.839155	95.836205	95.844536
1	128		95.840828	95.831779	95.845581
1	160		86.104535	71.477867	95.850784
1	192		77.296575	66.537506	95.841148
1	224		74.529245	69.272400	95.838806
1	256		66.412538	66.097923	67.154953
1	288		67.001595	66.195053	68.271881
1	320		66.759822	66.331772	67.280991
1	352		67.683053	66.630470	69.291672
1	384		66.498007	66.300522	66.665108
1	416		66.672981	66.466408	67.028130
1	448		66.809416	66.546875	67.100525
1	480		66.903615	66.547920	67.138023
1	512		66.993721	66.816147	67.122658
