[fangmq@cn18%yhstar 12_memory]$ ./shared_order 
blocks	 threads	 aver 	 min 	 max 	(clocks)
1	1	1		95.834641	95.834641	95.834641
2	1	1		95.836723	95.836723	95.836723
3	1	1		95.836205	95.836205	95.836205
1	1	32		95.837242	95.837242	95.837242
2	1	32		95.836723	95.836723	95.836723
3	1	32		95.836723	95.836723	95.836723
1	1	64		95.843494	95.840111	95.846878
2	1	64		95.838806	95.837242	95.840370
3	1	64		95.841282	95.839066	95.843498
1	1	96		95.841672	95.835419	95.851570
2	1	96		95.841932	95.840111	95.844536
3	1	96		95.838374	95.827087	95.845581
1	1	128		95.837374	95.835419	95.838806
2	1	128		95.838415	95.835419	95.841148
3	1	128		95.861334	95.846100	95.871361
1	1	160		84.110211	66.471619	95.842972
2	1	160		86.828703	73.293495	95.848442
3	1	160		84.846465	68.227089	95.843498
1	1	192		77.279649	67.494537	95.843758
2	1	192		80.518494	72.367188	95.842972
3	1	192		77.975091	68.606514	95.841675
1	1	224		75.950153	70.305473	95.844276
2	1	224		71.758932	67.335938	95.833862
3	1	224		72.325003	66.375267	95.836983
1	1	256		66.432034	66.132034	67.191147
2	1	256		66.417387	66.095314	67.154694
3	1	256		66.155602	66.086983	66.224220
1	1	288		69.000756	67.291412	70.238022
2	1	288		67.420837	66.394798	68.227867
3	1	288		67.221618	66.483078	68.212242
1	1	320		69.537529	67.616928	72.243492
2	1	320		66.584171	66.208855	67.184380
3	1	320		68.558337	66.703392	72.211983
1	1	352		67.635160	66.503906	69.294792
2	1	352		67.309876	66.541412	70.244797
3	1	352		66.544937	66.200783	66.735420
1	1	384		66.578606	66.391930	66.704170
2	1	384		66.553995	66.479172	66.729691
3	1	384		66.555775	66.401825	66.659637
1	1	416		66.650765	66.446617	67.018753
2	1	416		66.684479	66.469017	67.001564
3	1	416		66.745156	66.549225	67.031776
1	1	448		66.766800	66.435417	67.021881
2	1	448		66.826845	66.512764	67.100525
3	1	448		66.808169	66.568230	67.019272
1	1	480		66.866722	66.521095	67.015106
2	1	480		66.905489	66.565887	67.066933
3	1	480		66.935298	66.507812	67.259117
1	1	512		66.976582	66.689590	67.141930
2	1	512		66.928535	66.758339	67.086205
3	1	512		66.985778	66.835159	67.099480



[fangmq@cn18%yhstar 12_memory]$ ./shared_order 
blocks	 threads	 aver 	 min 	 max 	(clocks)
1	1	256		66.421814	66.135422	67.198181
2	1	256		66.175329	66.106773	66.252090
3	1	256		66.938577	66.114586	68.203392
1	32	256		68.260152	67.039589	69.277344
2	32	256		68.252566	67.086723	69.387764
3	32	256		68.206931	67.001305	69.232033
1	64	256		82.829992	69.150528	85.251045
2	64	256		82.979089	68.955734	85.167191
3	64	256		83.024616	69.137245	85.130470
1	96	256		110.213471	88.284378	136.833344
2	96	256		108.629247	83.630997	136.239594
3	96	256		104.800190	84.286201	135.301834
1	128	256		101.896230	66.172142	133.999741
2	128	256		100.183000	66.355469	132.208084
3	128	256		99.884261	66.416672	133.248962
1	160	256		96.419666	66.113281	136.156784
2	160	256		97.174596	67.389069	138.523178
3	160	256		97.530228	69.187241	136.515625
1	192	256		102.205986	79.907555	141.398972
2	192	256		102.437009	79.669273	140.766678
3	192	256		101.888013	78.673439	136.794281
1	224	256		103.253302	66.784378	140.437775
2	224	256		103.031388	66.557816	138.535950
3	224	256		102.751847	66.482033	138.431259
1	256	256		101.561259	67.555214	143.360428
2	256	256		102.297591	67.537247	148.356262
3	256	256		101.763057	66.442192	148.501053
1	288	256		102.267156	78.085945	153.293243
2	288	256		102.124644	78.814064	140.420319
3	288	256		102.800303	76.121620	154.800522
1	320	256		104.853484	71.259117	152.079697
2	320	256		104.400776	67.325264	160.688553
3	320	256		105.024508	68.587502	156.520065
1	352	256		105.327707	70.675781	151.523178
2	352	256		103.648598	66.404434	144.338806
3	352	256		103.221374	67.894012	143.212509
1	384	256		103.124797	71.965370	147.285431
2	384	256		103.595117	69.230209	147.200272
3	384	256		102.967857	69.157814	144.816406
1	416	256		105.307611	67.390366	158.240891
2	416	256		104.275711	67.188545	156.038544
3	416	256		104.302069	69.498703	159.436981
1	448	256		102.884603	67.356255	151.412506
2	448	256		103.021338	67.225525	150.484116
3	448	256		102.646856	67.357819	154.998703
1	480	256		103.313536	70.591667	144.071365
2	480	256		103.168411	67.513283	156.498703
3	480	256		103.558554	67.691933	156.826569
1	512	256		104.047130	76.591667	152.291931
2	512	256		104.154959	78.647141	168.166153
3	512	256		104.472411	76.218491	164.401825
1	544	256		104.749186	67.946877	157.082047
2	544	256		104.030976	67.647400	160.955734
3	544	256		105.206092	70.250000	149.046097
1	576	256		103.460209	68.325783	163.819016
2	576	256		103.904689	67.772659	156.710419
3	576	256		104.016919	71.995834	172.156006
1	608	256		104.259599	76.135681	154.282303
2	608	256		103.887469	76.662506	151.229431
3	608	256		104.470941	79.004173	159.064331
1	640	256		103.856469	69.575005	147.025528
2	640	256		104.849712	70.431778	168.080215
3	640	256		103.952133	66.580475	153.828918
1	672	256		103.516307	68.348701	149.479431
2	672	256		103.809216	66.982819	150.660950
3	672	256		104.139901	69.640106	160.188553
1	704	256		105.185847	76.671097	157.285950
2	704	256		105.128359	74.381516	149.661987
3	704	256		105.679193	74.641930	157.910431
1	736	256		104.595502	68.524223	157.217972
2	736	256		105.228599	69.648964	152.071106
3	736	256		105.470414	68.446098	156.476303
1	768	256		104.661456	66.101830	162.629700
2	768	256		104.583306	69.992714	160.166153
3	768	256		104.633256	73.401306	156.739334
1	800	256		104.908066	76.122658	152.821365
2	800	256		105.063853	76.880470	155.442978
3	800	256		105.009191	74.308075	159.890106
1	832	256		105.289725	68.896355	150.477356
2	832	256		104.885336	68.255997	160.220062
3	832	256		105.150204	68.816406	156.106781
1	864	256		105.302443	68.051048	149.783859
2	864	256		105.577359	67.153389	149.949493
3	864	256		104.641669	68.901825	157.672409
1	896	256		104.953485	72.350266	153.252090
2	896	256		104.665831	69.292450	158.432816
3	896	256		104.848694	74.165367	155.517456
1	928	256		105.675284	73.389069	149.276306
2	928	256		105.057229	69.782814	150.779953
3	928	256		106.371277	68.396881	159.572662
1	960	256		105.267896	67.699745	156.285431
2	960	256		105.401776	69.752350	166.143753
3	960	256		105.575063	68.055214	154.072922
1	992	256		106.002942	66.216148	153.669540
2	992	256		105.761220	71.594276	169.973450
3	992	256		105.664809	75.213806	172.925262
1	1024	256		105.666022	72.531776	156.072403
2	1024	256		105.948281	73.510681	158.257294
3	1024	256		106.572515	75.323959	164.900009


