[fangmq@cn18%yhstar 1_sizeof]$ ./tb_thread 
conflictnum	blocks	threads	aver	min	max	(clocks)
1	1	1		220.156784	220.156784	220.156784
2	1	1		220.187515	220.187515	220.187515
4	1	1		212.228394	212.228394	212.228394
8	1	1		212.229431	212.229431	212.229431
16	1	1		220.186737	220.186737	220.186737
32	1	1		220.198181	220.198181	220.198181
1	1	32		228.159653	228.159653	228.159653
2	1	32		228.164856	228.164856	228.164856
4	1	32		228.225540	228.225540	228.225540
8	1	32		228.153137	228.153137	228.153137
16	1	32		228.169540	228.169540	228.169540
32	1	32		228.150269	228.150269	228.150269
1	1	64		224.812378	224.767975	224.856781
2	1	64		224.822273	224.779434	224.865112
4	1	64		224.796371	224.750015	224.842728
8	1	64		224.778404	224.733353	224.823456
16	1	64		224.808601	224.764069	224.853134
32	1	64		224.779831	224.733871	224.825790
1	1	96		226.017543	224.853912	228.341934
2	1	96		225.950099	224.783600	228.280228
4	1	96		225.958349	224.798447	228.276581
8	1	96		225.994283	224.836990	228.306519
16	1	96		225.947581	224.784912	228.271622
32	1	96		225.947408	224.781525	228.276840
1	1	128		224.863361	224.839340	224.928925
2	1	128		224.829826	224.805740	224.888031
4	1	128		224.834843	224.810944	224.896362
8	1	128		224.863033	224.839600	224.928131
16	1	128		224.867588	224.842987	224.931519
32	1	128		224.833084	224.809906	224.897934
1	1	160		225.092722	224.839859	225.262772
2	1	160		225.411417	224.829178	225.804443
4	1	160		224.847775	224.792206	224.914078
8	1	160		225.479855	224.814590	225.976578
16	1	160		225.088245	224.838821	225.257828
32	1	160		225.586157	224.860687	226.076309
1	1	192		224.871930	224.828918	224.902878
2	1	192		225.153699	224.879181	225.296371
4	1	192		224.887512	224.822922	224.938034
8	1	192		225.101400	224.813553	225.258347
16	1	192		224.933912	224.847931	224.989594
32	1	192		225.094803	224.818756	225.245071
1	1	224		225.065264	224.903915	225.275009
2	1	224		225.421071	224.931259	226.051056
4	1	224		225.098190	224.856781	225.258606
8	1	224		225.350272	225.243240	225.507309
16	1	224		225.021066	224.865891	225.229706
32	1	224		225.302170	224.870850	225.850540
1	1	256		225.072832	224.893509	225.258606
2	1	256		224.968470	224.691940	225.222153
4	1	256		224.955446	224.611984	225.302094
8	1	256		225.107533	224.912766	225.291946
16	1	256		225.090214	224.906006	225.275528
32	1	256		225.064434	224.893768	225.240372
1	1	288		222.723707	220.439072	225.349487
2	1	288		222.635225	220.450012	225.298187
4	1	288		222.495990	220.476059	224.958084
8	1	288		222.592402	220.617203	224.940384
16	1	288		222.707420	220.462769	225.329437
32	1	288		222.660314	220.328659	225.345322
1	1	320		222.944229	221.488815	225.000015
2	1	320		222.614673	220.751831	225.328659
4	1	320		222.568137	220.805481	224.944016
8	1	320		222.659570	220.800018	225.312775
