[fangmq@cn18%yhstar 1_sizeof]$ ./to 
blocks	 threads	 aver 	 min 	 max 	(clocks)
1	1	1		220.211990	220.211990	220.211990
2	1	1		220.352356	220.352356	220.352356
3	1	1		212.422409	212.422409	212.422409
1	1	32		228.228653	228.228653	228.228653
2	1	32		228.233078	228.233078	228.233078
3	1	32		246.934128	246.934128	246.934128
1	1	64		224.896881	224.896881	224.896881
2	1	64		224.919540	224.919540	224.919540
3	1	64		248.579834	248.324493	248.835175
1	1	96		226.056178	224.893509	228.380997
2	1	96		226.081528	224.948456	228.347672
3	1	96		248.284388	247.757050	248.832306
1	1	128		224.899426	224.884903	224.915375
2	1	128		224.866158	224.849228	224.883606
3	1	128		248.894478	248.311996	249.244278
1	1	160		225.119025	224.848969	225.308868
2	1	160		225.987149	224.880737	226.745071
3	1	160		248.532254	247.300018	249.343506
1	1	192		225.979177	225.247147	226.708603
2	1	192		226.004613	224.932037	227.090897
3	1	192		248.320328	247.319290	249.245850
1	1	224		225.962363	225.009644	227.242722
2	1	224		224.966269	224.938553	224.977356
3	1	224		248.134055	247.436996	249.216934
1	1	256		224.944546	224.906006	224.971634
2	1	256		224.901022	224.869537	224.931519
3	1	256		248.145456	247.527618	248.657043
1	1	288		222.511441	220.424484	224.992462
2	1	288		222.518209	220.509903	224.998184
3	1	288		248.024436	247.463562	248.500275
1	1	320		222.544490	220.796112	225.035431
2	1	320		222.692223	221.103653	224.942459
3	1	320		248.121417	247.676575	248.426575
1	1	352		220.563317	220.366425	220.730743
2	1	352		220.791393	220.580734	221.002090
3	1	352		248.223308	247.453140	248.728134
1	1	384		221.083820	220.826569	221.328400
2	1	384		221.253333	220.932831	221.539597
3	1	384		248.228855	247.401581	248.814590
1	1	416		219.808244	216.787506	221.570587
2	1	416		219.875070	217.166672	221.553391
3	1	416		248.142480	247.428925	248.747147
1	1	448		219.030574	217.871109	220.635956
2	1	448		218.586358	216.282043	220.608871
3	1	448		248.185559	247.484131	248.715637
1	1	480		218.286486	217.258087	220.477097
2	1	480		218.259354	217.085434	220.610947
3	1	480		248.193329	247.435684	248.769028
1	1	512		217.994461	217.310944	218.864075
2	1	512		218.577354	217.517456	219.647400
3	1	512		248.160025	247.402618	248.822937


[fangmq@cn18%yhstar 1_sizeof]$ ./to_block 
blocks	 threads	 aver 	 min 	 max 	(clocks)
1	1	256		225.128557	224.962769	225.287766
2	1	256		225.120062	224.938553	225.283859
3	1	256		248.107496	247.435944	248.594803
1	32	256		218.492870	216.422928	220.684906
2	32	256		218.583448	216.301575	220.804443
3	32	256		249.495728	247.802353	251.214340
1	64	256		217.580397	216.761215	221.233871
2	64	256		217.555496	216.714600	221.453400
3	64	256		402.814074	326.397156	409.054962
1	96	256		237.170969	223.843246	255.744019
2	96	256		237.186063	223.856522	255.792206
3	96	256		604.868637	568.159912	654.034912
1	128	256		249.001653	216.560684	255.826569
2	128	256		251.031484	216.728134	255.822144
3	128	256		579.784897	246.822403	654.014343
1	160	256		246.512958	216.603134	255.852875
2	160	256		246.420022	216.432556	255.813812
3	160	256		552.213843	249.417725	654.069275
1	192	256		246.687184	216.558868	255.872665
2	192	256		247.987212	216.582047	255.888809
3	192	256		610.985042	484.571899	654.100525
1	224	256		252.959173	216.253922	255.825012
2	224	256		254.157214	216.166153	255.811478
3	224	256		624.386665	246.814850	654.042725
1	256	256		253.142536	216.739334	255.809387
2	256	256		252.085463	216.715897	255.819290
3	256	256		588.383555	249.416946	654.062805
1	288	256		251.274368	217.514862	255.823456
2	288	256		251.249030	216.660690	255.814072
3	288	256		612.821548	326.061462	654.110474
1	320	256		254.462652	217.853912	255.800797
2	320	256		255.348160	254.880997	255.807571
3	320	256		643.126488	246.922409	654.034424
1	352	256		253.690973	216.466156	255.888290
2	352	256		252.893337	216.106003	255.839081
3	352	256		612.281497	246.929703	654.041931
1	384	256		253.784061	216.759125	255.779434
2	384	256		253.819930	216.571106	255.899231
3	384	256		618.931888	326.039856	654.054749
1	416	256		255.320789	254.851059	255.893250
2	416	256		255.292232	254.898193	255.923447
3	416	256		653.321426	652.059692	654.133606
1	448	256		253.374455	216.300797	255.948715
2	448	256		254.051623	216.370056	256.063568
3	448	256		624.405780	247.810425	654.077087
1	480	256		253.586338	216.950531	255.895325
2	480	256		254.091190	216.414337	255.966675
3	480	256		621.137888	249.630997	654.153931
1	512	256		254.097004	216.751053	255.897934
2	512	256		254.710624	216.312775	255.932571
3	512	256		646.112889	402.128418	654.176331
1	544	256		253.618642	215.911209	255.904968
2	544	256		254.209277	216.050278	255.880737
3	544	256		635.455016	246.926834	654.151062
1	576	256		253.802016	216.012772	255.852615
2	576	256		254.244730	216.291672	255.874756
3	576	256		625.190645	249.495590	654.163574
1	608	256		254.803471	217.688812	255.972153
2	608	256		254.769164	219.344025	255.929962
3	608	256		640.541320	326.034637	654.094543
1	640	256		254.820638	215.977356	255.898972
2	640	256		254.314038	216.040375	255.967728
3	640	256		643.185042	247.050537	654.150269
1	672	256		254.385259	216.235428	255.875793
2	672	256		253.921409	215.926315	255.940125
3	672	256		630.007515	247.669800	654.119812
1	704	256		254.824835	216.781525	255.911469
2	704	256		254.391778	216.045578	255.857819
3	704	256		638.339889	326.068756	654.140686
1	736	256		254.847685	216.170059	255.949493
2	736	256		254.819000	216.696884	255.893250
3	736	256		648.900349	247.101059	654.121643
1	768	256		254.098357	216.515121	255.912506
2	768	256		254.137118	216.418503	255.890640
3	768	256		635.492869	247.691162	654.149780
1	800	256		254.458908	216.487244	255.885696
2	800	256		254.516091	217.865112	255.917465
3	800	256		637.717085	249.676056	654.163330
1	832	256		255.209815	254.666153	255.910431
2	832	256		255.202492	254.729965	255.880219
3	832	256		653.292140	651.945068	654.120056
1	864	256		254.279096	216.433609	255.903397
2	864	256		254.225465	216.402878	255.882828
3	864	256		638.354351	247.295319	654.139343
1	896	256		254.197085	216.309387	255.945847
2	896	256		254.878660	216.861725	255.924500
3	896	256		637.954667	247.968246	654.127136
1	928	256		254.854191	217.003922	255.875275
2	928	256		254.814138	216.902618	255.876053
3	928	256		649.148565	402.322144	654.156311
1	960	256		254.286134	216.267456	255.910431
2	960	256		254.311465	216.858337	255.961472
3	960	256		643.182583	247.222153	654.104980
1	992	256		254.611600	216.284119	255.896103
2	992	256		254.345558	216.066162	255.882828
3	992	256		637.777579	248.252625	654.124756
1	1024	256		254.630001	216.922928	255.916412
2	1024	256		254.903859	218.663025	255.933090
3	1024	256		645.335949	400.568237	654.088074
