[fangmq@cn18%yhstar memory_latency]$ ./latency 
step:register	 constant	 shared	 local	 global	 texture
1:	0.149740	53.562241	47.793232	266.679169	219.964600	111.792976
2:	0.151302	58.079952	47.738285	233.002350	217.394806	107.906776
3:	0.222396	62.589588	47.730732	205.459381	220.391159	111.865631
4:	0.221354	67.096878	47.552345	203.505219	218.404175	107.936981
5:	0.188542	71.578911	47.756775	204.469284	219.360687	111.838287
6:	0.151302	76.080994	47.789066	202.531525	217.403656	107.925789
7:	0.189323	80.580475	47.756775	204.479965	219.399231	111.840370
8:	0.223958	85.082558	47.726566	202.507568	217.367462	107.908340
9:	0.157292	89.591934	47.406513	205.459381	220.393768	111.643234
10:	0.191406	94.077347	47.760941	202.510681	217.402878	107.543495
11:	0.184896	98.595840	47.406513	205.467712	220.385422	111.329170
12:	0.153906	103.073700	47.760941	202.510681	217.398453	107.239326
13:	0.221354	107.569016	47.738285	204.458344	219.383865	111.079430
14:	0.191406	112.089066	47.738285	203.496887	218.364334	107.070839
15:	0.186198	116.587769	47.738285	205.463547	220.404175	110.939590
16:	0.149740	121.075790	47.760941	202.483871	217.420578	106.896103
17:	0.150000	121.073181	47.756775	204.479431	219.375793	110.811203
18:	0.221354	121.081779	47.738285	203.519547	218.394806	106.814590
19:	0.155990	121.084641	47.738285	205.453140	220.388031	110.697662
20:	0.225000	121.075005	47.726566	202.499222	217.381775	106.697662
21:	0.186719	121.083336	47.435680	205.462509	220.397675	110.629173
22:	0.221354	121.086464	47.531513	203.491684	218.394287	106.654694
23:	0.183073	121.084900	47.553909	205.465637	220.369537	110.569275
24:	0.224740	121.086464	47.738285	203.525787	218.387512	106.591934
25:	0.188542	121.081779	47.435680	205.470840	220.389328	110.510422
26:	0.257292	121.074745	47.730732	202.482300	217.394287	106.514847
27:	0.222396	121.072662	47.760941	204.441162	219.384903	110.451828
28:	0.224740	121.088028	47.738285	203.518494	218.394547	106.492195
29:	0.157292	121.088547	47.738285	205.452087	220.317200	110.405212
30:	0.225000	121.071098	47.760941	202.513290	217.403915	106.450790
31:	0.220313	121.088028	47.435680	205.466675	220.388290	110.377350
32:	0.152604	121.078392	47.760941	202.453140	217.284912	106.390892
33:	0.155990	121.083603	47.553909	205.459381	220.381775	110.355736
34:	0.186198	121.090630	47.552345	203.495850	218.429443	106.393494
35:	0.219531	121.074745	47.730732	204.500015	219.284119	110.297920
